Subject,Notes,Status
CBS-Accounting - O365,"

Office 365
",Not Started
CBS-Catrina Snowden-In-Place-Upgrade,"Upgrade complete, still needs Office 365 - Catrina was not available to give login credentials. Will finish this up next week. ~Gary 4/24/19

Doing this next week per Tracey. ~Gary 4/17/19


",Waiting
